Offer ID,Name,Preview URL,Payout Type,Payout Amount,Payout Percentage,Click to Run
9764,"Yourself First - US,CA - (Proof Needed)",https://www.yourselfirst.com/memory?,CPA,$11.25,0%,Run Now 
9763,"Digesti - US,CA - (Proof Needed)",https://www.digestiplan.com/liver-health?,CPA,$30.00,0%,Run Now 
9762,"Harmonia - US,CA - (Proof Needed)",https://www.drinkharmonia.com/cortisol?,CPA,$45.00,0%,Run Now 
9761,New Health Insurance - US,https://newhealthinsurance.com/,CPS,$0.00,80%,Run Now 
9760,New Auto Insurance - US,https://newautoinsurance.com/?,CPS,$0.00,80%,Run Now 
9759,ClaimSavings Free Cash Search - US,https://specialsavings.net/1k-cash-search-shorty-3.html?,CPS,$0.00,80%,Run Now 
9758,ClaimSavings Auto Insurance - US,https://specialsavings.net/AUTO1k-frontpage3.html?,CPS,$0.00,80%,Run Now 
9757,Debella - Get Windows - US,https://local.getwindow-estimates.com/?,CPA,$7.50,0%,Run Now 
9748,Save On Auto Plan - US - (Proof Needed),https://saveonautoplans.com/?,CPA,$0.00,80%,Run Now 
9747,WindowsRenew - US - (Proof Needed),https://windowsrenew.com/get-quote/,CPA,$0.00,80%,Run Now 
9746,Roof Remake - US - (Proof Needed),https://roofremake.com/get-quote,CPA,$0.00,80%,Run Now 
9745,Better Bath Quote - US - (Proof Needed),https://betterbathquote.com/get-quote,CPA,$0.00,80%,Run Now 
9744,Gutter Renew - US - (Proof Needed),https://gutterrenew.com/,CPA,$0.00,80%,Run Now 
9743,Fair Floor Quote RevShare - US - (Proof Needed),https://fairfloorquote.com/get-quote,CPA,$0.00,80%,Run Now 
9742,Fair Floor Quote - US - (Proof Needed),https://fairfloorquote.com/get-quote,CPS,$52.50,0%,Run Now 
9740,ChooseYourEducation.com - US - (Proof Needed),https://chooseyoureducation.com/,CPS,$0.00,80%,Run Now 
9739,PROMOVA - CY,https://promova.com/,CPA,$37.50,0%,Run Now 
9732,Refund More - UK,https://refundmore.com/,CPA,EUR5.25,0%,Run Now 
9731,Diesel Emissions Claim - UK,https://www.emissions-compensation-check.co.uk/,CPA,£18.75,0%,Run Now 
9730,Refundmore Flight Claims - UK,https://refundmore.com/,CPA,£7.50,0%,Run Now 
9729,Spray Foam Removal - UK,https://sprayfoamremovalscheme.co.uk/,CPA,£6.25,0%,Run Now 
9728,Big Cupom (Pix) - BR,https://gyazo.com/2f448830d93cb49c69059d378aa89828,CPA,$0.15,0%,Run Now 
9727,AssistanceGuide360 - US,https://gyazo.com/c3a07e7fb0fe8ba272c5acb38b3b48bf,CPA,$0.90,0%,Run Now 
9726,Inflation Relief - Everyday Resources - US,https://www.everydayresources.com/lander/inflation-relief,CPA,$0.60,0%,Run Now 
9725,ConsumerTestConnect - $750 Paypal - US,https://consumertestconnect1.com/paypal-750,CPA,$1.90,0%,Run Now 
9724,ConsumerTestConnect - $750 Amazon - US,https://consumertestconnect1.com/amazon-750,CPA,$1.90,0%,Run Now 
9723,ConsumerTestConnect - $750 Cashapp - US,https://consumertestconnect1.com/cash-750,CPA,$1.90,0%,Run Now 
9722,HealthQuoteCompare - US,https://healthquotecompare.com/,CPA,$11.25,0%,Run Now 
9721,ZippyLoan - US,https://zippyloan.com/,CPA,$28.00,0%,Run Now 
9720, StockMarketSharks.com - US,https://stockmarketsharks.buzzwithbrands.com/stockmarketsharks,CPA,$1.05,0%,Run Now 
9719,Classes and Careers - US,https://colleges.classesandcareers.com/classes,CPA,$7.00,0%,Run Now 
9718,ApprovedLoans -  US,https://www.approvedloans.net/,CPS,$0.00,80%,Run Now 
9716,YIP - Free & Easy Home Insurance Quotes - US,https://yourinsurancepath.com/home-z/?cid=1965,CPA,$7.50,0%,Run Now 
9715,YIP - Free & Easy Health Insurance Quotes -  US,https://yourinsurancepath.com/health-z/?cid=1966,CPA,$7.50,0%,Run Now 
9714,Home Insurance Quotes - Fast Free & Easy - US,https://yourinsurancepath.com/home-z/,CPS,$0.00,80%,Run Now 
9713,Benjamin iOS - US,https://apps.apple.com/us/app/benjamin-earn-money-moments/id6444538603,CPA,$0.20,0%,Run Now 
9712,Best Trading Indicator - Simplify Your Stock Trading - US,https://best-trading-indicator.com/?ref=pct,CPS,$0.00,80%,Run Now 
9711,Bad Ass Extension Cords - US,https://badassextensioncords.com/,CPS,$0.00,80%,Run Now 
9710,At Home: The Home Decor Superstore - US,https://www.athome.com/,CPS,$0.00,80%,Run Now 
9709,Alamo.com Car Rentals - US,https://www.alamo.com/en/home.html,CPS,$0.00,80%,Run Now 
9708,After.com - Affordable Prepaid Cremation Plans - US,https://www.after.com/,CPS,$0.00,80%,Run Now 
9707,Atlas One Fund - US,https://atlasfunding.org/,CPA,$130.00,0%,Run Now 
9705,FileTax.com - US,https://filetax.com/,CPS,$0.00,80%,Run Now 
9699,PolicyProviders.com - Auto Insurance - US,https://policyproviders.com/ppa/,CPS,$0.00,80%,Run Now 
9698,Video Game Addiction Campaign - US - (Proof Needed),https://help-injury.com/vga/,CPA,$75.00,0%,Run Now 
