ad_slot_id,offer_id
89a43a59-6144-4016-87da-c76a0581b710,
cd64b711-423d-4673-805e-97ecdd048649,9091
7dd01427-657f-4e8d-a118-cbbcd1ae3e79,9495
653dda2a-e92c-4dac-ba7d-6d31c57ef710,
b3717419-3ede-4836-8f23-0732a3f02ae6,9158
2084e6ce-832f-4861-9baa-36f30221fc52,9059
f0df0389-fc37-494b-8c74-69064a700055,
b1883009-d15f-46ac-963e-f10900b52e1f,9429
de37e779-bfc0-4162-9739-2fbabbe0d9a2,9729
766ae45e-9966-4de3-9e54-53f1d84857ae,
9ab327e9-41c4-4157-b0b0-3e0ad3e7acb4,9581
b068525c-7d0a-4b4d-9870-def34fe2354c,9002
ecefaca1-7481-4c54-812c-83eae7832b2f,
4400ffd0-eaeb-4a04-8204-223dc988fc51,9364
e2e87d4d-9577-4eb3-8948-b62bc9408c88,9389
0ce40420-7ca3-4e48-9c2e-07c03bb0da9e,
1ed5e655-8f13-4733-ba4a-041b3d7acc64,9457
b58779a6-62d8-41da-bd27-fedcdfd3f673,9044
64d9b1bc-3e36-41ca-baf1-fb23698b38e1,
b7552b37-5e54-4d54-b6da-0a4c955edcef,9131
edbdd380-465c-4d91-b5c8-174a5e8e0c34,9103
79d2d433-07d6-473c-beec-f92a06a12033,
5a446a0f-fc1f-4db0-a841-f116b046013a,9541
1a576b1b-5d3e-4af4-8927-b49a530e53e4,9001
dcf76c07-8d39-4def-90bf-c745d819f129,
94d0cebe-8663-4515-9773-8e92b806eea3,9393
7d4f5ed3-146e-4ac8-9c59-51a40ca2cb6a,9510
ee2d6c31-78df-4d32-a033-6b57339d81d6,
491419e0-cecf-48a1-b2b9-a6183412ab2e,9305
5b52f67d-0d4c-4df7-9783-b8b180352110,9058
2b0234a2-17a3-4588-a755-ba86e5ca479b,
9971891e-fda7-4121-a155-b8912c2612eb,9050
06d1a40c-fa09-44f8-92d1-9b75f6153a11,9611
c046f711-f71c-4667-b208-5e339a679383,
e95375ac-1303-4b81-a958-d74856261dc8,9368
904ebc91-0f5d-4597-a96a-6d90ac4a17be,9654
79726e51-d930-45dc-8a6d-0ff8d61eb30e,
8a99876a-b0a4-4543-bb36-99d60667bcf4,9557
0a88d33b-2e7b-4ef2-b159-f2cddbb4d195,9654
75e853d2-bb6c-4f7c-a010-9506c707480d,
8f78c6c9-e1e1-4a82-9eab-28bccc4cc61d,9160
30186d4d-0583-4613-b62a-29e5ea13a35f,9693
27215ab1-500c-4806-bb06-f977b229b53c,
fae4ddf4-19ad-4969-81d5-b57927c16db5,9268
8064bc6c-4334-4ec9-b562-d9e20f8c92e6,9119
b67bbf83-75b7-460f-a27d-5ab98fcf4791,
9427e522-6e13-4902-8280-e1af11ff8cc8,9585
ef83a496-2f74-400f-8dc5-bece249089d5,9049
a2a66f88-b095-42ec-85cd-3ecabaa218a6,
d505128a-02f5-42d4-9154-a853660ace2d,9348
1d0e0af3-38ab-40d7-8534-19bac2b540c1,9199
f721cf63-482f-4945-ac81-904953eadb59,
ade1bf94-882e-49a4-9c54-c9f4318025ae,9114
20b3e4ff-ff96-4b65-8264-c12263d06ad9,9292
117498d1-6be0-465e-8905-b82bd2245b91,
905aaeb0-619a-4363-b713-2c4abf8cd67e,9053
55535814-c55a-4f4f-8467-8174daee0e86,9650
32185387-578a-46f3-b5c9-9b83a59b5174,
39439ac5-5c2d-4f23-a11d-4c24f1095322,9538
3e90860f-9c7a-463f-80b0-a3516c0e30ce,9691
719bae15-3bd4-49b3-9c8a-0f223752a0f5,
e40c2e4e-58b0-46b6-9a4d-ad2ba7d1d7df,9187
edd6601c-222b-4eed-866e-1bb2b43ade50,9711
c69c356d-4b0e-4646-b0e8-b40b31de2ba2,
00d7e763-715b-4113-958e-6d52af12b5f5,9054
1e75f318-367d-46c0-97ef-9d0b20b6bb93,9088
8561c9d4-eac9-45b6-a3f9-71c46b7f2195,
12631b09-ec41-40a2-a652-52f97e7135eb,9218
48120309-7183-491f-ab4c-3219b3070a6b,9527
479daba3-de0f-4acf-bbc5-598097c67a38,
cd805bab-101c-482b-bd42-28bd9c7c9b0d,9396
f297180f-0b3f-429b-99a8-888550d3b6ac,9327
c52e2f35-fb13-4b32-8c7f-037df3b21534,
5bd3d8c4-4161-469d-8636-20a0cec13ebf,9690
48019439-1019-4219-9b0e-a9db7ee87203,9512
ff5321cd-51c4-4923-b1bd-1d0e19447805,
a34204a5-e718-4427-8387-be6cf9ab7e5f,9421
7f27e1b4-fc09-46ec-b2fb-0fe9a4eb5496,9535
1bbc3d55-d3ef-48ec-be88-182adf4f89c4,
23ad0330-4add-476c-8e59-0719ed5f306b,9274
e4e8fff2-62df-4e0c-862b-e5e25421ee31,9253
2c03c21c-967f-484d-9882-f6b9709799b4,
998d074f-d7d1-4d3d-8260-ccc8fbfdae08,9047
a35660d3-c3b5-4958-b958-cdf46d811745,9618
a6e0f9d4-a321-42ed-87f8-4087b1315f08,
820d3aa4-08d0-4096-ba89-8be7586ec1ff,9002
55cd8cfa-910d-400f-8f32-e2935a6b8a98,9333
